Data,Gols_Pro,Gols_Contra,Total_Chutes,Chutes_No_Gol,Chutes_Falta,Cartoes_Amarelos,Cartoes_Vermelhos,Faltas_Cometidas,Faltas_Provocadas,Cruzamentos,Impedimentos,Laterais,Escanteios,Total_Cartoes
2024-08-19,2,2,9,4,0.0,3,0,12,6,15,2,19.0,3.0,3
2024-08-25,3,0,11,6,1.0,1,0,11,10,6,2,15.0,1.0,1
2024-08-28,0,0,25,7,0.0,0,0,6,9,28,6,28.0,9.0,0
2024-08-31,1,0,9,2,0.0,1,0,9,12,10,2,16.0,2.0,1
2024-09-15,3,0,14,4,0.0,1,0,10,7,28,1,25.0,7.0,1
2024-09-19,2,1,21,4,0.0,3,0,13,13,25,3,13.0,8.0,3
2024-09-22,1,1,10,5,0.0,0,0,12,9,10,0,23.0,4.0,0
2024-09-26,1,0,8,2,0.0,2,0,11,11,13,0,13.0,3.0,2
2024-09-29,1,1,12,4,1.0,3,1,11,10,18,2,19.0,5.0,4
2024-10-02,0,4,4,0,0.0,4,0,8,6,11,1,13.0,2.0,4
2024-10-06,1,1,4,1,0.0,2,0,9,10,2,2,21.0,1.0,2
2024-10-20,3,1,24,8,0.0,5,0,14,8,32,0,26.0,8.0,5
2024-10-23,1,3,11,5,0.0,3,0,9,9,17,1,26.0,6.0,3
2024-10-27,0,1,10,3,0.0,2,0,4,8,24,1,26.0,10.0,2
2024-10-31,2,0,16,7,,0,0,8,17,32,3,,,0
2024-11-03,2,0,15,3,0.0,1,0,13,13,23,1,26.0,9.0,1
2024-11-06,2,1,4,3,0.0,1,0,11,7,7,1,19.0,0.0,1
2024-11-10,1,0,9,2,0.0,3,0,16,9,7,1,18.0,2.0,3
2024-11-23,2,1,10,7,0.0,3,0,18,17,29,3,36.0,5.0,3
2024-11-26,6,0,24,10,1.0,1,0,9,12,20,2,17.0,6.0,1
2024-11-30,5,0,13,9,0.0,2,0,11,6,10,3,20.0,5.0,2
2024-12-05,3,1,28,13,,2,0,9,15,32,2,,,2
2024-12-08,4,3,14,9,0.0,4,0,11,7,28,1,24.0,5.0,4
2024-12-11,3,1,19,6,1.0,0,0,11,4,29,3,13.0,9.0,0
2024-12-15,1,0,11,3,0.0,3,0,13,13,25,1,31.0,8.0,3
2024-12-21,2,1,5,4,1.0,3,0,8,9,10,4,17.0,3.0,3
2025-01-04,1,0,18,5,,3,0,15,7,10,1,,,3
2025-01-12,1,0,9,5,0.0,2,0,8,14,12,1,18.0,4.0,2
2025-01-15,4,0,14,11,,1,0,17,10,17,2,,,1
2025-01-18,0,1,18,3,1.0,3,0,6,14,34,2,17.0,9.0,3
2025-01-21,2,1,5,2,0.0,2,1,7,13,10,0,13.0,3.0,3
2025-01-25,1,1,20,8,1.0,4,0,10,12,20,0,19.0,5.0,4
2025-01-29,4,1,12,8,0.0,0,0,10,8,14,0,14.0,5.0,0
2025-02-01,2,0,17,5,1.0,2,0,9,14,25,2,20.0,10.0,2
2025-02-04,5,0,14,8,,1,0,12,8,13,1,,,1
2025-02-08,1,1,9,0,0.0,3,0,13,14,9,1,18.0,1.0,3
2025-02-15,1,1,9,3,0.0,3,1,8,18,10,1,21.0,2.0,4
2025-02-22,3,0,11,3,1.0,3,0,16,16,5,2,15.0,0.0,3
2025-02-25,4,4,10,7,,4,0,10,11,8,3,,,4
2025-03-01,1,0,12,4,1.0,2,0,7,8,21,4,17.0,6.0,2
2025-03-04,1,2,6,2,0.0,0,0,13,10,10,0,10.0,3.0,0
2025-03-09,1,2,3,1,0.0,2,1,14,9,14,4,25.0,4.0,3
2025-03-12,1 (2),0 (4),17,8,0.0,4,0,11,14,28,1,17.0,10.0,4
2025-03-16,2,4,7,2,0.0,1,0,10,11,17,2,18.0,6.0,1
2025-03-29,1,1,13,2,1.0,1,0,14,12,14,5,21.0,3.0,1
2025-04-02,0,1,6,0,,5,0,11,21,28,4,,,5
2025-04-06,2,1,12,4,1.0,4,0,12,14,22,0,22.0,7.0,4
2025-04-14,4,2,22,7,0.0,1,0,11,7,22,2,15.0,5.0,1
2025-04-19,0,1,7,2,0.0,1,0,13,13,20,1,27.0,4.0,1
2025-04-24,3,0,11,6,0.0,0,0,8,15,17,2,17.0,6.0,0
2025-05-03,0,0,9,2,0.0,2,0,13,18,30,0,26.0,5.0,2
2025-05-10,4,0,13,7,1.0,0,0,7,11,14,3,17.0,3.0,0
2025-05-15,0,2,9,5,0.0,1,0,11,12,22,4,21.0,5.0,1
2025-05-18,4,1,20,11,1.0,1,0,12,8,17,2,16.0,7.0,1
2025-05-25,4,0,19,11,1.0,0,0,11,13,12,2,16.0,8.0,0