Data,Gols_Pro,Gols_Contra,Gols,Total_Chutes,Chutes_No_Gol,Chutes_Falta,Penaltis_batidos,Penaltis tentados,Laterais,Escanteios,Tiros_Meta,Cartoes_Amarelos,Cartoes_Vermelhos,Faltas_Cometidas,Faltas_Provocadas,Impedimentos,Posse
2024-08-17,2.0,1.0,2,17,5,1.0,1,1,16.0,8.0,5.0,3,0,13,10,1,63.0
2024-08-24,2.0,1.0,2,13,5,0.0,0,0,15.0,5.0,6.0,4,0,11,16,2,64.0
2024-08-27,2.0,1.0,2,22,5,1.0,0,0,25.0,6.0,5.0,1,0,11,16,1,64.0
2024-08-31,7.0,0.0,7,23,11,1.0,0,0,15.0,10.0,2.0,0,0,6,11,4,70.0
2024-09-15,4.0,1.0,4,20,9,0.0,0,0,23.0,6.0,5.0,2,1,4,13,0,55.0
2024-09-19,1.0,2.0,1,4,1,1.0,0,0,17.0,0.0,8.0,3,1,14,14,2,44.0
2024-09-22,5.0,1.0,5,16,9,0.0,0,1,11.0,3.0,11.0,1,0,12,10,0,63.0
2024-09-25,1.0,0.0,1,15,4,2.0,0,0,22.0,7.0,5.0,1,0,4,14,5,76.0
2024-09-28,2.0,4.0,2,12,6,1.0,0,0,18.0,8.0,7.0,2,0,3,13,0,73.0
2024-10-01,5.0,0.0,4,21,8,0.0,0,0,16.0,9.0,2.0,0,0,9,10,0,69.0
2024-10-06,3.0,0.0,3,15,9,1.0,0,0,16.0,3.0,9.0,2,0,8,13,3,71.0
2024-10-20,5.0,1.0,5,20,8,1.0,1,1,20.0,5.0,4.0,1,0,6,14,3,67.0
2024-10-23,4.0,1.0,4,12,4,0.0,0,0,17.0,5.0,6.0,0,0,11,10,1,40.0
2024-10-26,4.0,0.0,4,15,7,0.0,0,0,14.0,3.0,5.0,5,0,17,15,1,57.0
2024-11-03,3.0,1.0,3,14,9,0.0,0,0,15.0,9.0,9.0,0,0,13,14,3,76.0
2024-11-06,5.0,2.0,5,21,9,0.0,0,0,13.0,7.0,3.0,0,0,12,4,0,69.0
2024-11-10,0.0,1.0,0,11,0,0.0,0,0,27.0,6.0,9.0,1,0,6,15,4,69.0
2024-11-23,2.0,2.0,2,9,4,0.0,0,0,21.0,1.0,8.0,5,1,9,12,3,59.0
2024-11-26,3.0,0.0,3,18,6,1.0,1,1,20.0,4.0,3.0,0,0,8,19,0,75.0
2024-11-30,1.0,2.0,1,27,8,2.0,0,0,21.0,7.0,4.0,0,0,7,11,2,69.0
2024-12-03,5.0,1.0,5,19,8,1.0,1,1,10.0,5.0,5.0,3,0,13,13,0,59.0
2024-12-07,2.0,2.0,2,9,3,0.0,0,0,18.0,4.0,7.0,2,0,14,15,4,62.0
2024-12-11,3.0,2.0,3,13,8,0.0,0,0,11.0,3.0,8.0,2,0,10,8,0,54.0
2024-12-15,0.0,1.0,0,20,3,1.0,0,0,27.0,8.0,4.0,0,0,5,11,3,79.0
2024-12-21,1.0,2.0,1,19,7,1.0,0,0,17.0,11.0,0.0,0,0,11,8,2,62.0
2025-01-04,4.0,0.0,4,19,9,,0,0,,,,1,0,7,15,3,75.0
2025-01-08,2.0,0.0,2,14,8,,0,0,,,,1,0,8,13,4,56.0
2025-01-12,5.0,2.0,5,14,8,,1,1,,,,4,1,13,14,1,51.0
2025-01-15,5.0,1.0,5,18,9,,0,0,,,,2,0,10,7,8,69.0
2025-01-18,1.0,1.0,1,21,5,1.0,0,0,30.0,10.0,5.0,2,0,9,8,4,77.0
2025-01-21,5.0,4.0,5,20,9,1.0,2,2,22.0,6.0,2.0,4,0,9,9,1,74.0
2025-01-26,7.0,1.0,6,22,11,0.0,0,0,10.0,14.0,4.0,0,0,10,12,0,71.0
2025-01-29,2.0,2.0,2,16,7,2.0,0,0,17.0,7.0,7.0,0,0,7,13,1,67.0
2025-02-02,1.0,0.0,1,11,4,0.0,0,0,26.0,5.0,3.0,5,0,8,19,2,69.0
2025-02-06,5.0,0.0,5,17,9,,0,0,,,,0,0,7,6,2,77.0
2025-02-09,4.0,1.0,4,10,6,0.0,0,0,21.0,6.0,2.0,2,1,6,13,1,60.0
2025-02-17,1.0,0.0,1,13,4,0.0,1,1,17.0,4.0,7.0,2,0,11,9,2,59.0
2025-02-22,2.0,0.0,2,15,5,3.0,0,0,15.0,3.0,6.0,1,0,4,13,1,69.0
2025-02-25,4.0,4.0,4,16,9,,0,0,,,,0,0,12,10,0,67.0
2025-03-02,4.0,0.0,4,33,10,2.0,0,0,21.0,12.0,1.0,0,0,15,6,0,76.0
2025-03-05,1.0,0.0,1,10,5,0.0,0,0,10.0,4.0,13.0,1,1,5,16,1,48.0
2025-03-11,3.0,1.0,3,20,6,1.0,0,0,15.0,1.0,5.0,0,0,4,7,3,64.0
2025-03-16,4.0,2.0,4,13,6,0.0,0,0,13.0,6.0,7.0,3,0,11,10,0,65.0
2025-03-27,3.0,0.0,3,18,4,1.0,1,1,19.0,8.0,3.0,1,0,7,14,2,74.0
2025-03-30,4.0,1.0,3,21,9,0.0,0,0,24.0,10.0,5.0,0,0,8,11,1,69.0
2025-04-02,1.0,0.0,1,15,5,,0,0,,,,3,0,22,11,1,57.0
2025-04-05,1.0,1.0,1,13,5,1.0,0,0,19.0,9.0,4.0,2,0,16,12,2,73.0
2025-04-09,4.0,0.0,4,18,9,0.0,0,0,22.0,4.0,6.0,0,0,5,12,1,60.0
2025-04-12,1.0,0.0,0,12,3,1.0,0,0,18.0,8.0,4.0,1,0,4,10,3,65.0
2025-04-15,1.0,3.0,0,7,2,0.0,0,0,21.0,4.0,4.0,1,0,11,14,2,53.0
2025-04-19,4.0,3.0,4,17,5,1.0,1,1,24.0,4.0,3.0,2,0,10,13,0,71.0
2025-04-22,1.0,0.0,1,40,12,0.0,0,0,15.0,13.0,4.0,0,0,10,7,1,77.0
2025-04-26,3.0,2.0,3,22,9,,0,0,,,,4,0,23,10,2,59.0
2025-04-30,3.0,3.0,2,19,9,1.0,0,0,23.0,7.0,3.0,1,0,10,11,0,71.0
2025-05-03,2.0,1.0,2,24,6,3.0,0,0,20.0,8.0,3.0,2,0,15,11,1,81.0
2025-05-06,3.0,4.0,3,22,10,0.0,0,0,31.0,7.0,3.0,2,0,10,14,2,70.0
2025-05-11,4.0,3.0,4,23,9,0.0,0,0,14.0,10.0,3.0,4,0,17,15,1,62.0
2025-05-15,2.0,0.0,2,12,4,0.0,0,0,18.0,3.0,6.0,1,0,10,8,0,74.0
2025-05-18,2.0,3.0,2,24,9,1.0,0,0,21.0,11.0,7.0,2,0,14,9,2,69.0
2025-05-25,3.0,0.0,3,12,3,0.0,1,1,16.0,6.0,7.0,0,0,10,21,1,75.0
